Generic_Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Brand Name 5,Brand Name 6,Uses,Side Effects (Common),Side Effects (Rare),Similar Drugs,Prescription or OTC
Brimonidine,Alphagan,,,,,,Glaucoma; ocular hypertension,"Eye redness, dry mouth","Allergic conjunctivitis, ocular pruritus","Apraclonidine, Timolol",Prescription
Brinzolamide,Azopt,,,,,,Glaucoma – reduces intraocular pressure,"Eye irritation, blurred vision, taste perversion","Corneal edema, ocular discomfort","Dorzolamide, Timolol",Prescription
Bromocriptine,Parlodel,,,,,,Parkinson’s disease; hyperprolactinemia,"Nausea, dizziness, headache","Orthostatic hypotension, fibrosis","Cabergoline, Pramipexole",Prescription
Brompheniramine,Bromfed,,,,,,"Relief of allergic symptoms (cough, cold, hay fever)","Drowsiness, dry mouth","Urinary retention, blurred vision","Diphenhydramine, Chlorpheniramine",OTC
Bumetanide,Bumex,,,,,,"Edema associated with heart failure, renal disease","Electrolyte imbalance, dizziness","Ototoxicity, hypotension","Furosemide, Torsemide",Prescription
Bupivacaine,Marcaine,,,,,,Local anesthesia for surgical procedures,"Hypotension, dizziness","Cardiac arrhythmias, CNS toxicity","Lidocaine, Ropivacaine",Prescription
Bupropion,Wellbutrin,,,,,,Depression; smoking cessation,"Insomnia, dry mouth, headache","Seizures, allergic reaction","Sertraline, Mirtazapine",Prescription
Buspirone,Buspar,,,,,,Anxiety disorders,"Dizziness, nausea, headache","Excitability, insomnia",(Different mechanism from benzodiazepines),Prescription
Busulfan,Myleran,,,,,,Chronic myelogenous leukemia,"Nausea, vomiting, skin hyperpigmentation","Pulmonary fibrosis, hepatic veno-occlusive disease","Cyclophosphamide, Melphalan",Prescription
Butalbital,Fioricet*,,,,,,"Tension headaches, migraine (as part of combination therapy)","Drowsiness, dizziness","Dependence, gastrointestinal upset",(Typically combined with acetaminophen and caffeine),Prescription
Butenafine,Lotrimin Ultra,,,,,,"Topical treatment of fungal skin infections (e.g., tinea)","Burning, stinging","Skin irritation, contact dermatitis","Terbinafine, Clotrimazole",OTC
Butoconazole,Gynazole-1,,,,,,Vulvovaginal candidiasis (topical antifungal),Local irritation,Allergic reaction,"Miconazole, Clotrimazole",OTC
Cabazitaxel,Jevtana,,,,,,Metastatic castration-resistant prostate cancer,"Neutropenia, diarrhea, fatigue","Hypersensitivity reactions, renal toxicity","Docetaxel, Paclitaxel",Prescription
Cabergoline,Dostinex,,,,,,Hyperprolactinemia; adjunct in Parkinson’s disease,"Nausea, headache, dizziness","Valvular heart disease, fibrosis","Bromocriptine, Quinagolide",Prescription
Cabotegravir,Cabenuva,,,,,,HIV-1 maintenance therapy (in combination with rilpivirine),"Injection site pain, headache, diarrhea","Hypersensitivity, elevated liver enzymes","Dolutegravir, Bictegravir",Prescription
Calcipotriene,Dovonex,,,,,,Psoriasis treatment,"Skin irritation, itching",Hypercalcemia (rare),"Calcitriol, Betamethasone",Prescription
Calcitriol,Rocaltrol,,,,,,Treatment of hypocalcemia and renal osteodystrophy,"Hypercalcemia, nausea, vomiting","Arrhythmias, confusion",Other Vitamin D analogues,Prescription
Calcium acetate,PhosLo,,,,,,Management of hyperphosphatemia in chronic kidney disease,"Nausea, constipation",Hypercalcemia,"Sevelamer, Calcium carbonate",OTC
Calcium chloride,Calcijex,,,,,,IV treatment of hypocalcemia and cardiac resuscitation,"Injection site pain, bradycardia",Tissue necrosis,Calcium gluconate,OTC
Calcium citrate,Citracal,,,,,,Calcium supplementation and antacid,"Gastrointestinal discomfort, bloating",Kidney stones,Calcium carbonate,OTC
Calcium gluconate,Calcium Gluconate,,,,,,Treatment of hypocalcemia,"Nausea, vomiting, hypotension",Tissue necrosis,Calcium chloride,OTC
Calcium lactate,Calcium Lactate,,,,,,Calcium supplementation,Gastrointestinal upset,(Rare adverse effects),Calcium carbonate,OTC
Canagliflozin,Invokana,,,,,,Treatment of type 2 diabetes mellitus (SGLT2 inhibitor),"Genital mycotic infections, polyuria","Ketoacidosis, hypotension","Dapagliflozin, Empagliflozin",Prescription
Candesartan,Atacand,,,,,,Management of hypertension and heart failure,"Dizziness, headache, hypotension","Renal impairment, hyperkalemia","Losartan, Valsartan",Prescription
Capecitabine,Xeloda,,,,,,Treatment of breast and colorectal cancers (antineoplastic; prodrug of 5-FU),"Hand-foot syndrome, diarrhea, nausea","Cardiotoxicity, severe myelosuppression","5-Fluorouracil, Tegafur",Prescription
Capreomycin,Capastat,,,,,,Treatment of multidrug-resistant tuberculosis (injectable antibiotic),"Nephrotoxicity, ototoxicity","Hyperkalemia, allergic reactions","Amikacin, Kanamycin",Prescription
Captopril,Capoten,,,,,,Hypertension; heart failure; diabetic nephropathy,"Cough, rash, taste disturbance","Angioedema, hyperkalemia","Enalapril, Lisinopril",Prescription
Carboplatin,Paraplatin,,,,,,"Ovarian, lung, head and neck cancers","Nausea, thrombocytopenia, fatigue","Nephrotoxicity, ototoxicity","Cisplatin, Oxaliplatin",Prescription
Carisoprodol,Soma,,,,,,Acute musculoskeletal pain,"Drowsiness, dizziness, headache","Dependence, withdrawal symptoms","Cyclobenzaprine, Methocarbamol",Prescription
Carmustine,BiCNU,,,,,,"Brain tumors, multiple myeloma, Hodgkin’s lymphoma","Nausea, vomiting, delayed bone marrow suppression","Pulmonary fibrosis, hepatic toxicity","Lomustine, Temozolomide",Prescription
Carteolol,Ocupress,,,,,,Glaucoma (ophthalmic beta-blocker),"Eye irritation, blurred vision","Bradycardia, bronchospasm","Timolol, Betaxolol",Prescription
Carvedilol,Coreg,,,,,,Hypertension; heart failure; post-MI,"Dizziness, fatigue, hypotension","Bradycardia, bronchospasm","Metoprolol, Bisoprolol",Prescription
Casopitant,Rezonic,,,,,,Antiemetic (investigational/withdrawn in U.S.),"Headache, fatigue (based on trials)",QT prolongation (withdrawal reason),"Aprepitant, Fosaprepitant",Prescription
Caspofungin,Cancidas,,,,,,Invasive fungal infections,"Fever, phlebitis, rash","Hepatic dysfunction, hypersensitivity","Micafungin, Anidulafungin",Prescription
Cefaclor,Ceclor,,,,,,Respiratory tract and urinary tract infections,"Diarrhea, rash, nausea","Anaphylaxis, pseudomembranous colitis","Cefuroxime, Cephalexin",Prescription
Cefadroxil,Duricef,,,,,,Skin and urinary tract infections,"Nausea, diarrhea, rash","Anaphylaxis, hemolytic anemia","Cephalexin, Amoxicillin",Prescription
Cefdinir,Omnicef,,,,,,"Otitis media, sinusitis, bronchitis, skin infections","Diarrhea, rash, nausea",C. difficile-associated diarrhea,"Cefixime, Cefuroxime",Prescription
Cefepime,Maxipime,,,,,,Severe gram-negative infections (including Pseudomonas),"Rash, fever, GI upset","Encephalopathy, seizures","Ceftazidime, Meropenem",Prescription
Cefixime,Suprax,,,,,,"Otitis media, bronchitis, UTI","Diarrhea, nausea, abdominal pain","Stevens-Johnson syndrome, anaphylaxis","Cefdinir, Cefpodoxime",Prescription
Cefotaxime,Claforan,,,,,,"Severe bacterial infections, especially in hospital settings","Injection site pain, rash","Seizures, neutropenia","Ceftriaxone, Ceftazidime",Prescription
Cefotetan,Cefotan,,,,,,Surgical prophylaxis; abdominal and pelvic infections,"Diarrhea, rash, nausea","Disulfiram-like reaction, bleeding","Cefoxitin, Ceftriaxone",Prescription
Cefoxitin,Mefoxin,,,,,,"Intra-abdominal infections, gynecologic infections","Injection site reaction, rash",C. difficile-associated diarrhea,"Cefotetan, Cefotaxime",Prescription
Cefpodoxime,Vantin,,,,,,"Respiratory tract infections, skin infections","Diarrhea, abdominal pain","Hypersensitivity, liver enzyme elevation","Cefdinir, Cefixime",Prescription
Cefprozil,Cefzil,,,,,,"Pharyngitis, otitis media, skin infections","Nausea, vomiting, diarrhea","Anaphylaxis, serum sickness","Cephalexin, Cefuroxime",Prescription
Ceftaroline,Teflaro,,,,,,"Community-acquired pneumonia, MRSA skin infections","Diarrhea, nausea, rash","Neutropenia, hypersensitivity","Vancomycin, Linezolid",Prescription
Ceftibuten,Cedax,,,,,,"Otitis media, pharyngitis, bronchitis","Diarrhea, nausea, headache","Rash, eosinophilia","Cefixime, Cefdinir",Prescription
Ceftolozane/tazobactam,Zerbaxa,,,,,,Complicated intra-abdominal and urinary tract infections,"Nausea, diarrhea, headache","Hepatotoxicity, hypersensitivity","Piperacillin-tazobactam, Meropenem",Prescription
Ceftriaxone,Rocephin,,,,,,"Meningitis, gonorrhea, pneumonia","Injection site pain, eosinophilia","Biliary sludging, hemolytic anemia","Cefotaxime, Cefepime",Prescription
Celecoxib,Celebrex,,,,,,"Osteoarthritis, rheumatoid arthritis, acute pain","Dyspepsia, diarrhea, hypertension","Cardiovascular events, GI bleeding","Meloxicam, Diclofenac",Prescription
Celiprolol,Selectol,,,,,,Hypertension (not commonly used in U.S.),"Fatigue, bradycardia","Heart block, bronchospasm","Atenolol, Bisoprolol",Prescription
Cephalexin,Keflex,,,,,,"Skin and soft tissue infections, UTI","Diarrhea, nausea, rash","Anaphylaxis, seizures","Cefadroxil, Amoxicillin",Prescription
Ceritinib,Zykadia,,,,,,ALK-positive metastatic non-small cell lung cancer,"Diarrhea, nausea, fatigue","QT prolongation, hepatotoxicity","Crizotinib, Alectinib",Prescription
Certolizumab pegol,Cimzia,,,,,,"Crohn’s disease, rheumatoid arthritis, psoriatic arthritis","Injection site reaction, upper respiratory infections","Tuberculosis reactivation, serious infections","Adalimumab, Etanercept",Prescription
Cetirizine,Zyrtec,,,,,,"Allergic rhinitis, chronic urticaria","Drowsiness, dry mouth",Allergic reactions (rare),"Loratadine, Fexofenadine",OTC
Cetuximab,Erbitux,,,,,,"Colorectal cancer, head and neck cancer (EGFR inhibitor)","Rash, infusion reaction","Interstitial lung disease, cardiopulmonary arrest","Panitumumab, Trastuzumab",Prescription
Chenodiol,Chenodal,,,,,,Dissolution of radiolucent gallstones,"Diarrhea, elevated liver enzymes","Hepatotoxicity, hypercholesterolemia",Ursodiol,Prescription
Chlordiazepoxide,Librium,,,,,,"Anxiety, alcohol withdrawal","Drowsiness, confusion","Dependence, respiratory depression","Diazepam, Lorazepam",Prescription
Chloroquine,Aralen,,,,,,Malaria treatment and prophylaxis; autoimmune conditions (off-label),"Nausea, headache, visual changes","Retinopathy, QT prolongation",Hydroxychloroquine,Prescription
Chlorothiazide,Diuril,,,,,,"Edema, hypertension","Hypokalemia, dizziness","Electrolyte imbalance, pancreatitis",Hydrochlorothiazide,Prescription
Chlorpheniramine,Chlor-Trimeton,,,,,,"Allergic rhinitis, cold symptoms","Drowsiness, dry mouth","Blurred vision, urinary retention","Diphenhydramine, Loratadine",OTC
Chlorpromazine,Thorazine,,,,,,"Schizophrenia, severe nausea/vomiting, intractable hiccups","Sedation, hypotension, extrapyramidal symptoms","Tardive dyskinesia, neuroleptic malignant syndrome","Haloperidol, Risperidone",Prescription
Cidofovir,Vistide,,,,,,CMV retinitis in AIDS patients,"Nephrotoxicity, proteinuria","Neutropenia, metabolic acidosis","Ganciclovir, Foscarnet",Prescription
Cilastatin,– (used in combo),,,,,,Prevents breakdown of imipenem in kidneys (used in imipenem/cilastatin),"Diarrhea, rash (with imipenem)","Seizures, renal dysfunction","Imipenem, Meropenem",Prescription
Cilazapril,Inhibace,,,,,,"Hypertension, heart failure (not approved in U.S.)","Cough, dizziness","Angioedema, hyperkalemia","Lisinopril, Ramipril",Prescription
Cilostazol,Pletal,,,,,,"Intermittent claudication, antiplatelet therapy","Headache, diarrhea","Thrombocytopenia, palpitations","Pentoxifylline, Clopidogrel",Prescription
Cimetidine,Tagamet,,,,,,"GERD, peptic ulcer disease","Diarrhea, headache","Gynecomastia, confusion (elderly)","Ranitidine, Famotidine",Prescription
Cinacalcet,Sensipar,,,,,,"Secondary hyperparathyroidism, parathyroid carcinoma","Nausea, vomiting","Hypocalcemia, QT prolongation","Paricalcitol, Calcitriol",Prescription
Cisatracurium,Nimbex,,,,,,Neuromuscular blockade in surgical or ICU settings,"Bradycardia, flushing","Prolonged paralysis, histamine release","Atracurium, Vecuronium",Prescription
Cisplatin,Platinol,,,,,,"Solid tumors (testicular, ovarian, bladder cancers)","Nausea, nephrotoxicity, ototoxicity","Myelosuppression, electrolyte imbalances","Carboplatin, Oxaliplatin",Prescription
Citalopram,Celexa,,,,,,"Depression, anxiety","Nausea, dry mouth, insomnia","QT prolongation, serotonin syndrome","Escitalopram, Sertraline",Prescription
Citric acid,– (ingredient),,,,,,Alkalinizing agent; used in oral and IV solutions,Mild GI upset (depends on formulation),Metabolic alkalosis (high doses),Sodium citrate,OTC
Clarithromycin,Biaxin,,,,,,"Respiratory infections, H. pylori, skin infections","Diarrhea, taste changes","QT prolongation, hepatotoxicity","Azithromycin, Erythromycin",Prescription
Clavulanate,– (combo only),,,,,,Beta-lactamase inhibitor (used with amoxicillin or ticarcillin),GI upset (combo-dependent),"Allergic reaction, hepatic dysfunction","Sulbactam, Tazobactam",Prescription
Clevidipine,Cleviprex,,,,,,IV antihypertensive (used in acute settings),"Hypotension, reflex tachycardia","Lipid disorder, allergic reactions","Nicardipine, Esmolol",Prescription
Clindamycin,Cleocin,,,,,,"Anaerobic and gram-positive infections, acne (topical)","Diarrhea, rash","C. difficile colitis, hepatotoxicity","Metronidazole, Doxycycline",Prescription
Clocortolone,Cloderm,,,,,,Inflammatory and pruritic dermatoses,"Burning, dryness","Skin atrophy, HPA axis suppression","Hydrocortisone, Triamcinolone",Prescription
Clofazimine,Lamprene,,,,,,Leprosy (part of multidrug therapy),"Skin discoloration, GI upset","QT prolongation, severe GI disturbances","Rifampin, Dapsone",Prescription
Clofibrate,Atromid-S,,,,,,Hyperlipidemia (largely obsolete),"Nausea, GI upset","Gallstones, hepatotoxicity","Gemfibrozil, Fenofibrate",Prescription
Clomipramine,Anafranil,,,,,,Obsessive-compulsive disorder (OCD),"Dry mouth, dizziness","Seizures, cardiac arrhythmias","Amitriptyline, Fluoxetine",Prescription
Clonazepam,Klonopin,,,,,,"Seizure disorders, panic disorder","Drowsiness, coordination problems","Dependence, respiratory depression","Diazepam, Lorazepam",Prescription
Clopidogrel,Plavix,,,,,,"Prevention of stroke, MI, and vascular death","Bleeding, bruising",Thrombotic thrombocytopenic purpura,"Ticagrelor, Prasugrel",Prescription
Clorazepate,Tranxene,,,,,,"Anxiety, alcohol withdrawal, seizures","Drowsiness, ataxia","Dependence, withdrawal seizures","Diazepam, Clonazepam",Prescription
Clozapine,Clozaril,,,,,,Schizophrenia (treatment-resistant),"Drowsiness, weight gain","Agranulocytosis, myocarditis","Olanzapine, Risperidone",Prescription
Cobicistat,Tybost,,,,,,CYP3A inhibitor used to boost HIV protease inhibitors,"Nausea, increased creatinine",Liver enzyme elevation,Ritonavir,Prescription
Codeine,–,,,,,,"Mild to moderate pain, cough suppression","Drowsiness, constipation","Respiratory depression, dependence","Hydrocodone, Tramadol",Prescription
Colesevelam,Welchol,,,,,,"Hyperlipidemia, type 2 diabetes adjunct","Constipation, dyspepsia","Vitamin deficiencies (fat-soluble), hypertriglyceridemia","Cholestyramine, Colestipol",Prescription
Colestipol,Colestid,,,,,,Hyperlipidemia,"Constipation, bloating","Vitamin A, D, E, K deficiency","Cholestyramine, Colesevelam",Prescription
Colistin,Coly-Mycin M,,,,,,Multidrug-resistant gram-negative bacterial infections,"Nephrotoxicity, paresthesia","Neuromuscular blockade, apnea","Polymyxin B, Tigecycline",Prescription
Colistimethate,–,,,,,,Prodrug of colistin; IV use for severe infections,"Nephrotoxicity, bronchospasm (inhaled)","Respiratory failure, renal damage","Polymyxin B, Amikacin",Prescription
Conivaptan,Vaprisol,,,,,,Hyponatremia (euvolemic or hypervolemic),"Infusion site reactions, thirst","Hypotension, osmotic demyelination syndrome",Tolvaptan,Prescription
Corticotropin,Acthar,,,,,,"Infantile spasms, MS exacerbations, nephrotic syndrome","Irritability, weight gain","Hypertension, infection risk","Prednisone, Methylprednisolone",Prescription
Cortisone,Cortone,,,,,,Inflammatory and autoimmune conditions,"Fluid retention, increased appetite","Cushing's syndrome, adrenal suppression","Prednisone, Hydrocortisone",Prescription
Cosyntropin,Cortrosyn,,,,,,Diagnostic agent for adrenal insufficiency (ACTH stimulation test),"Injection site reaction, rash",Anaphylaxis (rare),"ACTH, Hydrocortisone",Prescription
Crizotinib,Xalkori,,,,,,ALK-positive and ROS1-positive non-small cell lung cancer,"Vision disorders, diarrhea, nausea","Hepatotoxicity, QT prolongation","Ceritinib, Alectinib",Prescription
Cyclizine,Marezine,,,,,,"Motion sickness, vertigo","Drowsiness, dry mouth","Tachycardia, blurred vision","Meclizine, Dimenhydrinate",Prescription
Cyproheptadine,Periactin,,,,,,"Allergies, appetite stimulation, serotonin syndrome","Drowsiness, dry mouth","Confusion, hallucinations","Diphenhydramine, Hydroxyzine",Prescription
Dabigatran,Pradaxa,,,,,,"Anticoagulation: stroke prevention, DVT/PE treatment","Bleeding, GI upset","Spinal hematoma, thrombocytopenia","Apixaban, Rivaroxaban",Prescription
Dacarbazine,DTIC-Dome,,,,,,"Hodgkin's lymphoma, melanoma","Nausea, vomiting","Hepatic necrosis, myelosuppression","Temozolomide, Procarbazine",Prescription
Daclizumab,Zinbryta (withdrawn),,,,,,Multiple sclerosis (withdrawn due to safety issues),Injection site reactions,"Hepatic injury, encephalitis","Ocrelizumab, Natalizumab",Prescription
Dactinomycin,Cosmegen,,,,,,"Wilms tumor, rhabdomyosarcoma, testicular cancer","Nausea, myelosuppression","Mucositis, hepatotoxicity","Doxorubicin, Vincristine",Prescription
Dalteparin,Fragmin,,,,,,Anticoagulation (LMWH): DVT/PE prophylaxis and treatment,"Bleeding, injection site reactions","Spinal hematoma, thrombocytopenia","Enoxaparin, Fondaparinux",Prescription
Danazol,Danocrine,,,,,,"Endometriosis, fibrocystic breast disease, hereditary angioedema","Weight gain, acne","Thromboembolism, liver tumors","Leuprolide, Medroxyprogesterone",Prescription
Dantrolene,Dantrium,,,,,,"Malignant hyperthermia, chronic spasticity","Drowsiness, dizziness",Hepatotoxicity,"Baclofen, Tizanidine",Prescription
Dapagliflozin,Farxiga,,,,,,"Type 2 diabetes, heart failure, CKD","Polyuria, UTIs","Ketoacidosis, Fournier’s gangrene","Canagliflozin, Empagliflozin",Prescription
Dapsone,Aczone,,,,,,"Leprosy, dermatitis herpetiformis, acne (topical)","Hemolysis, rash","Agranulocytosis, methemoglobinemia","Sulfapyridine, Trimethoprim-sulfamethoxazole",Prescription
Darbepoetin alfa,Aranesp,,,,,,Anemia due to CKD or chemotherapy,"Hypertension, injection site pain","Pure red cell aplasia, thromboembolism","Epoetin alfa, Methoxy polyethylene epoetin beta",Prescription
Darifenacin,Enablex,,,,,,Overactive bladder,"Dry mouth, constipation","Urinary retention, angioedema","Oxybutynin, Solifenacin",Prescription
Darunavir,Prezista,,,,,,HIV-1 infection,"Rash, diarrhea, headache","Hepatotoxicity, skin reactions","Atazanavir, Lopinavir",Prescription
Dasabuvir,Viekira Pak,,,,,,Hepatitis C virus infection (part of combination therapy),"Fatigue, nausea, pruritus","Liver enzyme elevation, anemia","Sofosbuvir, Ledipasvir",Prescription
Dasatinib,Sprycel,,,,,,"Chronic myeloid leukemia (CML), Ph+ ALL","Fluid retention, diarrhea","Pulmonary hypertension, QT prolongation","Imatinib, Nilotinib",Prescription
Daunorubicin,Cerubidine,,,,,,"Acute leukemia (AML, ALL)","Myelosuppression, nausea","Cardiotoxicity, extravasation injury","Doxorubicin, Idarubicin",Prescription
Deferiprone,Ferriprox,,,,,,Iron overload in thalassemia,"Nausea, vomiting, arthralgia","Agranulocytosis, neutropenia","Deferasirox, Deferoxamine",Prescription
Deflazacort,Emflaza,,,,,,Duchenne muscular dystrophy,"Weight gain, Cushingoid appearance","Immunosuppression, adrenal suppression","Prednisone, Dexamethasone",Prescription
Degarelix,Firmagon,,,,,,Advanced prostate cancer,"Hot flashes, injection site reactions","QT prolongation, liver enzyme elevation","Leuprolide, Goserelin",Prescription
Delavirdine,Rescriptor,,,,,,HIV-1 infection (NNRTI class; rarely used now),"Rash, headache, nausea","Hepatotoxicity, SJS/TEN","Efavirenz, Nevirapine",Prescription
Demeclocycline,Declomycin,,,,,,SIADH (off-label); bacterial infections,"Photosensitivity, GI upset","Nephrogenic diabetes insipidus, hepatotoxicity","Tetracycline, Doxycycline",Prescription
Desflurane,Suprane,,,,,,General anesthesia induction and maintenance,"Airway irritation, tachycardia",Malignant hyperthermia,"Sevoflurane, Isoflurane",Prescription
Desipramine,Norpramin,,,,,,"Depression, neuropathic pain","Dry mouth, constipation, dizziness","Cardiac arrhythmias, suicidal ideation","Nortriptyline, Amitriptyline",Prescription
Desloratadine,Clarinex,,,,,,"Allergic rhinitis, urticaria","Headache, fatigue",Hypersensitivity reactions,"Loratadine, Fexofenadine",Prescription
Desoximetasone,Topicort,,,,,,Inflammatory and pruritic dermatoses,"Burning, itching","Skin thinning, HPA axis suppression","Fluocinonide, Betamethasone",Prescription
Dexchlorpheniramine,Polaramine,,,,,,"Allergic rhinitis, urticaria","Drowsiness, dry mouth","Confusion, hallucinations","Chlorpheniramine, Diphenhydramine",OTC
Dexmedetomidine,Precedex,,,,,,"ICU sedation, procedural sedation","Hypotension, bradycardia","Atrial fibrillation, withdrawal symptoms","Propofol, Midazolam",Prescription
Dexpanthenol,Panthenol,,,,,,"Vitamin B5 analog for dermatitis, wound healing, and nutritional support","Local irritation (topical), GI upset (oral)",Hypersensitivity reactions,"Pantothenic acid, Topical emollients",Prescription
Dextran,Dextran 40,,,,,,"Volume expander, anticoagulant adjunct","Anaphylaxis, volume overload","Renal failure, coagulopathy","Hetastarch, Albumin",Prescription
Diazoxide,Proglycem,,,,,,Hypoglycemia due to insulinoma or congenital hyperinsulinism,"Fluid retention, tachycardia","Pulmonary hypertension, heart failure","Octreotide, Glucagon",Prescription
Dichlorphenamide,Keveyis,,,,,,Primary periodic paralysis,"Paresthesia, confusion","Metabolic acidosis, kidney stones","Acetazolamide, Methazolamide",Prescription
Dicloxacillin,Dynapen,,,,,,Penicillinase-resistant infections (skin/soft tissue),"GI upset, rash","Anaphylaxis, hepatic dysfunction","Nafcillin, Cephalexin",Prescription
Dicyclomine,Bentyl,,,,,,Irritable bowel syndrome (IBS),"Dry mouth, dizziness","Confusion, urinary retention","Hyoscyamine, Loperamide",Prescription
Didanosine,Videx,,,,,,HIV infection (NRTI class; rarely used now),"Diarrhea, rash","Pancreatitis, lactic acidosis","Zidovudine, Stavudine",Prescription
Diethylpropion,Tenuate,,,,,,Obesity (short-term adjunct to diet),"Insomnia, dry mouth","Hypertension, dependence","Phentermine, Benzphetamine",Prescription
Diflorasone,Psorcon,,,,,,Inflammatory skin conditions,"Burning, itching, dryness","Skin thinning, adrenal suppression","Fluocinonide, Clobetasol",Prescription
Diflunisal,Dolobid,,,,,,"Pain, arthritis","Nausea, dyspepsia","GI bleeding, renal impairment","Ibuprofen, Naproxen",Prescription
Dimenhydrinate,Dramamine,,,,,,"Motion sickness, nausea","Drowsiness, dry mouth","Confusion, blurred vision","Meclizine, Scopolamine",OTC
Dimethyl fumarate,Tecfidera,,,,,,Relapsing forms of multiple sclerosis,"Flushing, GI upset","Lymphopenia, liver injury","Fingolimod, Glatiramer acetate",Prescription
